,Title,Difficulty,URL,count
1,Two Sum,Easy,/problems/two-sum,39
3,Longest Substring Without Repeating Characters,Medium,/problems/longest-substring-without-repeating-characters,32
146,LRU Cache,Medium,/problems/lru-cache,32
56,Merge Intervals,Medium,/problems/merge-intervals,28
121,Best Time to Buy and Sell Stock,Easy,/problems/best-time-to-buy-and-sell-stock,28
20,Valid Parentheses,Easy,/problems/valid-parentheses,27
200,Number of Islands,Medium,/problems/number-of-islands,27
49,Group Anagrams,Medium,/problems/group-anagrams,23
22,Generate Parentheses,Medium,/problems/generate-parentheses,20
5,Longest Palindromic Substring,Medium,/problems/longest-palindromic-substring,18
15,3Sum,Medium,/problems/3sum,17
53,Maximum Subarray,Medium,/problems/maximum-subarray,17
42,Trapping Rain Water,Hard,/problems/trapping-rain-water,17
14,Longest Common Prefix,Easy,/problems/longest-common-prefix,16
48,Rotate Image,Medium,/problems/rotate-image,16
88,Merge Sorted Array,Easy,/problems/merge-sorted-array,16
4,Median of Two Sorted Arrays,Hard,/problems/median-of-two-sorted-arrays,16
560,Subarray Sum Equals K,Medium,/problems/subarray-sum-equals-k,15
68,Text Justification,Hard,/problems/text-justification,15
347,Top K Frequent Elements,Medium,/problems/top-k-frequent-elements,15
2,Add Two Numbers,Medium,/problems/add-two-numbers,14
21,Merge Two Sorted Lists,Easy,/problems/merge-two-sorted-lists,14
54,Spiral Matrix,Medium,/problems/spiral-matrix,14
236,Lowest Common Ancestor of a Binary Tree,Medium,/problems/lowest-common-ancestor-of-a-binary-tree,14
23,Merge k Sorted Lists,Hard,/problems/merge-k-sorted-lists,14
380,Insert Delete GetRandom O(1),Medium,/problems/insert-delete-getrandom-o1,14
91,Decode Ways,Medium,/problems/decode-ways,14
31,Next Permutation,Medium,/problems/next-permutation,13
13,Roman to Integer,Easy,/problems/roman-to-integer,13
387,First Unique Character in a String,Easy,/problems/first-unique-character-in-a-string,13
7,Reverse Integer,Medium,/problems/reverse-integer,13
41,First Missing Positive,Hard,/problems/first-missing-positive,13
207,Course Schedule,Medium,/problems/course-schedule,13
394,Decode String,Medium,/problems/decode-string,13
79,Word Search,Medium,/problems/word-search,13
124,Binary Tree Maximum Path Sum,Hard,/problems/binary-tree-maximum-path-sum,12
215,Kth Largest Element in an Array,Medium,/problems/kth-largest-element-in-an-array,12
695,Max Area of Island,Medium,/problems/max-area-of-island,12
994,Rotting Oranges,Medium,/problems/rotting-oranges,12
103,Binary Tree Zigzag Level Order Traversal,Medium,/problems/binary-tree-zigzag-level-order-traversal,12
206,Reverse Linked List,Easy,/problems/reverse-linked-list,12
238,Product of Array Except Self,Medium,/problems/product-of-array-except-self,12
